Decision Tree Pred 2020	Decision Tree Pred 2021	Exported_value_in_2009	Exported_value_in_2010	Exported_value_in_2011	Exported_value_in_2012	Exported_value_in_2013	Exported_value_in_2014	Exported_value_in_2015	Exported_value_in_2016	Exported_value_in_2017	Exported_value_in_2018	Exported_value_in_2019	Exported_value_in_2020	Exporter	Importers	Lineer Reg Pred 2020	Lineer Reg Pred 2021	Poly Reg d3 Pred 2020	Poly Reg d3 Pred 2021	Random Forest Pred 2020	Random Forest Pred 2021	XG Boost Pred 2020	XG Boost Pred 2021
83697.0	83697.0	94203.0	80671.0	86544.0	151175.0	107058.0	67375.0	88762.0	38252.0	86541.0	77630.0	83697.0	75966.0	Argentina	Nigeria	70600.0	67792.0	121025.0	170597.0	80196.0	80196.0	82327.0	82327.0
16159.0	16159.0	23925.0	31083.0	41390.0	35969.0	20139.0	15627.0	16635.0	13748.0	17657.0	17119.0	16159.0	19354.0	Argentina	Norway	11014.0	9070.0	32250.0	50808.0	16158.0	16158.0	16194.0	16194.0
73683.0	73683.0	45077.0	39695.0	59003.0	39000.0	34301.0	28702.0	29156.0	42975.0	79044.0	52290.0	73683.0	20274.0	Argentina	Oman	61521.0	63851.0	93976.0	115946.0	65815.0	65815.0	73144.0	73144.0
92902.0	92902.0	50021.0	45392.0	40697.0	66759.0	146039.0	281106.0	397884.0	245857.0	170542.0	93399.0	92902.0	73644.0	Argentina	Pakistan	224928.0	237709.0	-183298.0	-475478.0	123497.0	123497.0	93026.0	93026.0
936.0	936.0	2203.0	1702.0	1559.0	3427.0	3470.0	2624.0	2516.0	2466.0	1880.0	2976.0	936.0	103.0	Argentina	Palestine, State of	2170.0	2141.0	478.0	-579.0	1415.0	1415.0	932.0	932.0
62553.0	62553.0	69977.0	57999.0	169640.0	170841.0	94969.0	77355.0	68328.0	89452.0	120341.0	40071.0	62553.0	27340.0	Argentina	Panama	68531.0	64475.0	90810.0	132009.0	61734.0	61734.0	61194.0	61194.0
728154.0	728154.0	845359.0	1155901.0	1367481.0	1368078.0	1298735.0	1215306.0	1053991.0	979683.0	1129788.0	968643.0	728154.0	423778.0	Argentina	Paraguay	933574.0	905668.0	844871.0	933882.0	798710.0	798710.0	730096.0	730096.0
1400772.0	1400772.0	794705.0	1131982.0	1793980.0	1924853.0	1420998.0	1113946.0	722913.0	819951.0	1071451.0	925506.0	1400772.0	947854.0	Argentina	Peru	1036221.0	1010121.0	2395297.0	3797707.0	1253491.0	1253491.0	1386181.0	1386181.0
282308.0	282308.0	512104.0	439440.0	600748.0	302123.0	419195.0	663606.0	283511.0	357770.0	254670.0	299932.0	282308.0	104633.0	Argentina	Philippines	250330.0	225151.0	253531.0	253091.0	289769.0	289769.0	285967.0	285967.0
454207.0	454207.0	428671.0	460649.0	567860.0	556113.0	620531.0	731424.0	561290.0	633701.0	571779.0	589687.0	454207.0	287061.0	Argentina	Poland	602439.0	609271.0	377615.0	260925.0	491376.0	491376.0	456640.0	456640.0
